Time,UUID,RSSI,Name
1593893359.1935759,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-81,Rob's iPhone 6s+ (A1634)
1593893359.197227,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-81,Rob's iPhone 6s+ (A1634)
1593893359.214563,4D314E4A-7B84-FDFE-42AD-E956A8185FC5,-91,Apple TV HD (5)
1593893359.216522,4D314E4A-7B84-FDFE-42AD-E956A8185FC5,-91,Apple TV HD (5)
1593893359.224324,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-77,Rob's iPhone 6s+ (A1634)
1593893359.226163,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-77,Rob's iPhone 6s+ (A1634)
1593893359.2310128,D55E3CDC-6BA4-6E16-75E3-D97A0C238446,-100,?
1593893359.232774,D55E3CDC-6BA4-6E16-75E3-D97A0C238446,-100,?
1593893359.252933,E394F51E-9C28-9FE2-5EC9-D7013EF54F7F,-88,[TV] Samsung 6 Series (43)
1593893359.25626,E394F51E-9C28-9FE2-5EC9-D7013EF54F7F,-88,[TV] Samsung 6 Series (43)
1593893359.259139,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-83,Rob's iPhone 6s+ (A1634)
1593893359.2616348,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-83,Rob's iPhone 6s+ (A1634)
1593893359.2749372,06423FB7-5588-1688-DA8B-D36C6A23B269,-97,?
1593893359.28653,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-78,Rob's iPhone 6s+ (A1634)
1593893359.289752,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-78,Rob's iPhone 6s+ (A1634)
1593893359.307004,E394F51E-9C28-9FE2-5EC9-D7013EF54F7F,-83,[TV] Samsung 6 Series (43)
1593893359.3094711,E394F51E-9C28-9FE2-5EC9-D7013EF54F7F,-83,[TV] Samsung 6 Series (43)
1593893359.322348,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-72,Rob's iPhone 6s+ (A1634)
1593893359.325027,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-72,Rob's iPhone 6s+ (A1634)
1593893359.349679,E394F51E-9C28-9FE2-5EC9-D7013EF54F7F,-82,[TV] Samsung 6 Series (43)
1593893359.3522558,E394F51E-9C28-9FE2-5EC9-D7013EF54F7F,-82,[TV] Samsung 6 Series (43)
1593893359.355391,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-72,Rob's iPhone 6s+ (A1634)
1593893359.35828,3F669AF8-C8AF-8DE8-F29D-F009CC7BA0AF,-73,Rob's iPhone 6s+ (A1634)
1593893359.3845139,573548B2-440F-39E4-6F2E-C7ABDE070D96,-82,Red Green
1593893359.387481,573548B2-440F-39E4-6F2E-C7ABDE070D96,-82,Red Green
1593893359.397999,4D314E4A-7B84-FDFE-42AD-E956A8185FC5,-88,Apple TV HD (5)
1593893359.400682,4D314E4A-7B84-FDFE-42AD-E956A8185FC5,-87,Apple TV HD (5)
1593893359.4181929,1E998BF0-D335-0954-6B31-8C74F5DF91E1,-97,?
1593893359.421468,1E998BF0-D335-0954-6B31-8C74F5DF91E1,-98,?
